teamName,enrollment,class,y,headSchool,co-opingSchools,district,latitude,longitude,rank0g,rank1g,rank2g,rank3g,rank4g,rank5g,rank6g,rank7g,rank8g,rank9g,sqmg,rank10g,rankLast3g,rankAvgg,rank0b,rank1b,rank2b,rank3b,rank4b,rank5b,rank6b,rank7b,rank8b,rank9b,sqmb,rank10b,rankLast3b,rankAvgb
Woodward-Granger,176,1A,2019,Woodward-Granger ,,Marshalltown,41.8572760,-93.9222218,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Ankeny Christian Academy,61,1A,2019,Ankeny Christian Academy ,,Mount Ayr,41.7324,-93.6231,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Audubon,114,1A,2019,Audubon ,,Mount Ayr,41.7180421,-94.9324868,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Bedford,95,1A,2019,Bedford ,,Mount Ayr,40.666932,-94.721358,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"CAM, Anita",109,1A,2019,"CAM, Anita ",,Mount Ayr,41.4438761,-94.764146,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Clarinda Academy,111,1A,2019,Clarinda Academy ,,Mount Ayr,40.7577,-95.0361,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Coon Rapids-Bayard,91,1A,2019,Coon Rapids-Bayard ,,Mount Ayr,41.8708192,-94.6774786,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Diagonal,21,1A,2019,Diagonal ,,Mount Ayr,40.8094349,-94.3421793,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
East Mills,98,1A,2019,East Mills ,,Mount Ayr,41.0236518,-95.4992019,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"East Union, Afton",116,1A,2019,"East Union, Afton ",,Mount Ayr,41.0284183,-94.1975786,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Essex,40,1A,2019,Essex ,,Mount Ayr,40.8344024,-95.3073003,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Exira/Elk Horn-Kimballton,95,1A,2019,Exira/Elk Horn-Kimballton ,,Mount Ayr,41.591655,-95.0599904,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Fremont-Mills, Tabor",102,1A,2019,"Fremont-Mills, Tabor ",,Mount Ayr,40.8983329,-95.6713891,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Griswold,105,1A,2019,Griswold ,,Mount Ayr,41.234991,-95.1374929,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
